"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"125","","John Ross","CIN","WR56","9","117","148","128.7","13.8","171.0","+46.0"
"126","","Tyler Lockett","SEA","WR57","7","115","158","129.7","20.0","152.0","+26.0"
"127","","Jared Cook","OAK","TE11","7","89","166","132.7","32.3","173.0","+46.0"
"128","","Bilal Powell","NYJ","RB42","11","110","151","132.7","17.0","142.0","+14.0"
"129","","Devontae Booker","DEN","RB43","10","112","156","137.0","18.5","147.0","+18.0"
"130","","Matt Breida","SF","RB44","11","124","163","138.7","17.3","150.0","+20.0"
"131","","O.J. Howard","TB","TE12","5","125","167","139.3","19.6","153.0","+22.0"
"132","","Andy Dalton","CIN","QB19","9","132","152","139.3","9.0","200.0","+68.0"
"133","","George Kittle","SF","TE13","11","125","159","140.0","14.2","126.0","-7.0"
"134","","Ronald Jones II","TB","RB45","5","111","170","141.0","24.1","99.0","-35.0"
"135","","Paul Richardson","WAS","WR58","4","129","151","141.7","9.3","168.0","+33.0"
"136","","Jack Doyle","IND","TE14","9","104","200","142.7","41.4","105.0","-31.0"
"137","","Blake Bortles","JAC","QB20","9","122","158","142.7","15.2","196.0","+59.0"
"138","","David Njoku","CLE","TE15","11","113","163","143.3","21.8","110.0","-28.0"
"139","","Theo Riddick","DET","RB46","6","127","154","143.7","11.9","148.0","+9.0"
"140","","Adrian Peterson","WAS","RB47","4","123","183","145.3","26.8","124.0","-16.0"
"141","","Latavius Murray","MIN","RB48","10","120","166","147.0","19.6","136.0","-5.0"
"142","","Dak Prescott","DAL","QB21","8","135","159","147.0","9.8","137.0","-5.0"
"143","","Mitch Trubisky","CHI","QB22","5","121","178","148.0","23.4","170.0","+27.0"
"144","","Chris Godwin","TB","WR59","5","130","190","150.7","27.8","160.0","+16.0"
"145","","Josh Doctson","WAS","WR60","4","106","182","151.0","32.6","151.0","+6.0"
"146","","C.J. Anderson","CAR","RB49","4","146","160","151.7","6.0","120.0","-26.0"
"147","","Ricky Seals-Jones","ARI","TE16","9","108","183","152.0","32.0","224.0","+77.0"
"148","","Austin Hooper","ATL","TE17","8","116","186","153.0","28.7","194.0","+46.0"
"149","","Mike Wallace","PHI","WR61","9","114","229","164.0","48.1","249.0","+100.0"
"150","","Eli Manning","NYG","QB23","9","140","176","155.3","15.2","161.0","+11.0"
"151","","Anthony Miller","CHI","WR62","5","135","135","135.0","0.0","156.0","+5.0"
"152","","Minnesota (MIN)","","DST1","10","133","138","135.5","2.5","122.0","-30.0"
"153","","Benjamin Watson","NO","TE18","6","144","176","157.3","13.6","190.0","+37.0"
"154","","Javorius Allen","BAL","RB50","10","101","196","158.0","41.0","201.0","+47.0"
"155","","Frank Gore","MIA","RB51","11","121","181","158.0","26.4","220.0","+65.0"
"156","","Jacksonville (JAC)","","DST2","9","133","143","138.0","5.0","107.0","-49.0"
"157","","Donte Moncrief","JAC","WR63","9","138","222","167.0","38.9","229.0","+72.0"
"158","","Alfred Morris","SF","RB52","11","82","246","164.0","82.0","169.0","+11.0"
"159","","Danny Amendola","MIA","WR64","11","131","228","170.7","41.5","181.0","+22.0"
"160","","Charles Clay","BUF","TE19","11","153","170","162.3","7.0","182.0","+22.0"
"161","","Tyler Eifert","CIN","TE20","9","117","198","163.0","34.0","133.0","-28.0"
"162","","Case Keenum","DEN","QB24","10","157","171","163.0","5.9","206.0","+44.0"
"163","","Austin Seferian-Jenkins","JAC","TE21","9","127","185","163.7","26.0","162.0","-1.0"
"164","","Ryan Tannehill","MIA","QB25","11","154","181","163.7","12.3","223.0","+59.0"
"165","","DeSean Jackson","TB","WR65","5","128","200","164.0","29.4","165.0","0.0"
"166","","Corey Clement","PHI","RB53","9","146","179","166.3","14.5","143.0","-23.0"
"167","","Ryan Grant","IND","WR66","9","139","160","149.5","10.5","296.0","+129.0"
"168","","Houston (HOU)","","DST3","10","148","152","150.0","2.0","149.0","-19.0"
"169","","Derek Carr","OAK","QB26","7","151","184","167.7","13.5","135.0","-34.0"
"170","","Austin Ekeler","LAC","RB54","8","147","212","173.3","27.9","186.0","+16.0"
"171","","Mohamed Sanu","ATL","WR67","8","109","215","176.0","47.6","159.0","-12.0"
"172","","Quincy Enunwa","NYJ","WR68","11","145","229","179.7","35.8","248.0","+76.0"
"173","","Michael Gallup","DAL","WR69","8","146","184","170.7","17.5","141.0","-32.0"
"174","","Philadelphia (PHI)","","DST4","9","144","168","156.0","12.0","123.0","-51.0"
"175","","T.J. Yeldon","JAC","RB55","9","140","198","171.3","23.9","213.0","+38.0"
"176","","Calvin Ridley","ATL","WR70","8","132","199","174.0","29.9","127.0","-49.0"
"177","","Seattle (SEA)","","DST5","7","137","187","162.0","25.0","219.0","+42.0"
"178","","Nick Chubb","CLE","RB56","11","160","204","176.7","19.5","118.0","-60.0"
"179","","Denver (DEN)","","DST6","10","147","180","163.5","16.5","154.0","-25.0"
"180","","Aaron Jones","GB ","RB57","7","136","236","187.7","40.9","112.0","-68.0"
"181","","Ted Ginn","NO","WR71","6","129","224","176.5","47.5","187.0","+6.0"
"182","","Doug Martin","OAK","RB58","7","155","225","185.0","29.4","177.0","-5.0"
"183","","Stephen Gostkowski","NE","K1","11","162","169","165.5","3.5","134.0","-49.0"
"184","","Los Angeles (LAC)","","DST7","8","150","187","168.5","18.5","144.0","-40.0"
"185","","Baltimore (BAL)","","DST8","10","161","177","169.0","8.0","146.0","-39.0"
"186","","Matt Bryant","ATL","K2","8","163","175","169.0","6.0","189.0","+3.0"
"187","","Cameron Meredith","NO","WR72","6","138","218","188.7","36.0","145.0","-42.0"
"188","","Justin Tucker","BAL","K3","10","169","173","171.0","2.0","140.0","-48.0"
"189","","LeGarrette Blount","DET","RB59","6","142","209","185.3","30.7","157.0","-32.0"
"190","","Taywan Taylor","TEN","WR73","8","179","185","182.0","2.4","245.0","+55.0"
"191","","Nyheim Hines","IND","RB60","9","175","194","183.0","8.0","183.0","-8.0"
"192","","Greg Zuerlein","LAR","K4","12","164","185","174.5","10.5","132.0","-60.0"
"193","","Los Angeles (LAR)","","DST9","12","155","196","175.5","20.5","117.0","-76.0"
"194","","Kansas City (KC)","","DST10","12","157","194","175.5","18.5","218.0","+24.0"
"195","","Eric Ebron","IND","TE22","9","173","202","185.0","12.4","184.0","-11.0"
"196","","Chris Ivory","BUF","RB61","11","171","206","187.0","14.4","228.0","+32.0"
"197","","Vance McDonald","PIT","TE23","7","168","241","200.7","30.3","208.0","+11.0"
"198","","Courtland Sutton","DEN","WR74","10","162","213","187.5","25.5","195.0","-3.0"
"199","","John Kelly","LAR","RB62","12","162","263","212.5","50.5","262.0","+63.0"
"200","","New England (NE)","","DST11","11","178","186","182.0","4.0","176.0","-24.0"
"201","","James Washington","PIT","WR75","7","171","223","195.7","21.3","237.0","+36.0"
"202","","Christian Kirk","ARI","WR76","9","169","198","183.5","14.5","202.0","0.0"
"203","","Jameis Winston","TB ","QB27","5","172","217","194.7","18.4","163.0","-40.0"
"204","","New Orleans (NO)","","DST12","6","167","219","193.0","26.0","172.0","-32.0"
"205","","Terrance Williams","DAL","WR77","8","170","228","204.3","24.9","239.0","+34.0"
"206","","Luke Willson","DET","TE24","6","172","235","208.7","26.7","318.0","+112.0"
"207","","Albert Wilson","MIA","WR78","11","173","252","219.3","33.7","285.0","+78.0"
"208","","Cameron Brate","TB","TE25","5","187","220","198.3","15.3","174.0","-34.0"
"209","","Jake Elliott","PHI","K5","9","174","237","205.5","31.5","199.0","-10.0"
"210","","Jermaine Kearse","NYJ","WR79","11","178","213","195.5","17.5","271.0","+61.0"
"211","","Wil Lutz","NO","K6","6","190","191","190.5","0.5","179.0","-32.0"
"212","","Matt Prater","DET","K7","6","183","208","195.5","12.5","215.0","+3.0"
"213","","Carolina (CAR)","","DST13","4","186","199","192.5","6.5","188.0","-25.0"
"214","","Elijah McGuire","NYJ","RB63","11","188","224","206.0","18.0","282.0","+68.0"
"215","","Jordan Wilkins","IND","RB64","9","189","212","200.5","11.5","166.0","-49.0"
"216","","Chicago (CHI)","","DST14","5","189","226","207.5","18.5","193.0","-23.0"
"217","","Vernon Davis","WAS","TE26","4","189","234","216.0","19.4","288.0","+71.0"
"218","","Geronimo Allison","GB","WR80","7","190","222","210.3","14.4","205.0","-13.0"
"219","","Pittsburgh (PIT)","","DST15","7","192","203","197.5","5.5","191.0","-28.0"
"220","","Joe Flacco","BAL","QB28","10","192","235","215.7","17.8","238.0","+18.0"
"221","","Cole Beasley","DAL","WR81","8","193","244","218.5","25.5","255.0","+34.0"
"222","","Jonathan Stewart","NYG","RB65","9","194","234","214.0","20.0","258.0","+36.0"
